S.No,inst_name,Rating,Category,Course,Infra,Faculty,District,State,Links,Placement %,ALP,Fee,Combined Score,Rank,FeeCategory,S links,Classified Rating,Our Rating
419,Indira Gandhi Government College,3.2,M,"{'ba', 'bcom', 'bsc'}",Good,Good,Lohit,Arunachal Pradesh,https://iggc.org.in/,55,3,25850,18.68,560.5,vl,https://youtu.be/Flkw43J_zTw?si=SHBWH3SdUHSLytp0,0.147916667,3
281,"SHARADA COLLEGE OF
 PHARMACEUTICAL SCI.S",3.7,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Guntur,Andhra Pradesh,https://pharmaadmission.com,55,2.3,35000,18.67,562.5,vl,,,n/a
275,ST.ANNS COLLEGE OF PHARAMACY,3.7,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Vizianagaram,Andhra Pradesh,https://sacet.ac.in/,55,2.3,35000,18.67,562.5,vl,,,n/a
442,Gauhati University,3.9,"M,E,L","{'ba', 'eee', 'cse', 'llb', 'mec', 'ece'}",Good,VGood,Kamrup Metropolitan,Assam,https://gauhati.ac.in/,55,2,1500,18.66,564,vl,https://youtu.be/VT_DzGTpZWU?si=jjQ6ClJ_VQt-aNri,0.061314554,2
285,SESHACHALA COLLEGE OF PHARMACY,3.6,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Chittoor,Andhra Pradesh,https://scpedu.in,55,2.3,140000,18.63,565.5,vh,,,n/a
282,SWATHI COLLEGE OF PHARMACY,3.6,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Nellore,Andhra Pradesh,https://swathicollegeofpharmacy.org,55,2.3,50000,18.63,565.5,l,https://youtube.com/shorts/IONDbtIMPrA?si=kI1iB2_OyNWG_2B-,0,2
32,"AUDISANKARA COLLEGE OF ENGG
 FOR WOMEN",4.7,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Chittor,Andhra Pradesh,"https://www.audisankara.ac.in/contactus.html#:~:text=Our%20college%20is%20located%20on,plying%20on%20this%20commercial%20routes.",50,5.5,65000,18.53,567,m,https://youtu.be/6laDzFfjm1U?si=nxV_sJtBGpdqgRf7,0.20625,3
173,LENORA COLLEGE OF ENGINEERING,3.7,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,East Godavari,Andhra Pradesh,https://lce.ac.in,55,1.8,40000,18.52,568,l,https://youtu.be/ad1Ey9OIUww?si=nBEfQE74NTddaRqn,0.263289474,3
597,Government Degree College,3.2,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Bad,Good,Lahaul and Spiti,Himachal Pradesh,https://hplahaulspiti.nic.in/,54,3.4,5000,18.5,569,vl,,,n/a
286,SESHACHALA INST OF TECHNOLOGY,3.2,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Puttur,Andhra Pradesh,www.seshachala.in,55,2.3,57000,18.47,570,m,,,n/a
244,"DR PAUL RAJS ENGINEERING
 COLLEGE",3,E,"{'ece', 'eee', 'mec', 'cse'}",Bad,Good,East Godavari,Andhra Pradesh,https://www.dprec.ac.in/,55,2.5,40000,18.45,571,l,,,n/a
308,"ST. MARYS COLL. PHARM
 SURAMPALEM",3,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Bad,Good,East Godavari,Andhra Pradesh,https://www.orchidfoundation.info/college/st-mary-college-of-bpharmacy-at-surampalem,55,2.3,35000,18.39,572.5,vl,,,n/a
253,QIS COLLEGE OF PHARMACY,3,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Bad,Good,Prakasam,Andhra Pradesh,https://www.qiscp.edu.in,55,2.3,67000,18.39,572.5,m,https://youtu.be/8Fvs2e4tlpY?si=5THadh2P_Xim4mKz,-0.072727273,1
727,Government PG College,3,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Average,Good,Harda,Madhya Pradesh,https://mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=MzM4,55,2.2,5000,18.36,574,vl,,,n/a
472,S. N. Sinha College,3.9,M,"{'bca', 'bbm/bms', 'b.a', 'b.com', 'b.sc'}",VGood,VGood,Aurangabad,Bihar,https://www.ssinhacollege.co.in/,53,2.9,33140,18.33,575,vl,https://youtu.be/3_a2wOf88fQ?si=rWXmQ-WBQf_QSE7R,0.331666667,4
750,Government PG College,3.7,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Ratlam,Madhya Pradesh,,54,2.1,4789,18.31,576,vl,,,n/a
239,"P NAGAIAH CHOUDARY AND VIJAY
 INST OF ENGG AND TECH",2.4,E,"{'ece', 'eee', 'mec', 'cse'}",Bad,Good,Guntur,Andhra Pradesh,Www.Pncviet.Ac.In,55,2.8,47000,18.3,577,l,,,n/a
207,NOVAS INST OF TECHNOLOGY,2.7,E,"{'ece', 'eee', 'mec', 'cse'}",Bad,Good,Krishna,Andhra Pradesh,https://www.nova.edu.in,55,2,35000,18.18,578,vl,,,n/a
641,B.D. College,3.2,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Simdega,Jharkhand,http://simdegacollegesimdega.com/,54,2.2,68120,18.14,579,m,https://youtu.be/bCxBw4r2uWI?si=-QTxTomQ6gJON-Ji,0.006770833,2
456,Hamren College,3.1,M,"{'ba', 'bsc'}",Bad,Good,West Karbi Anglong,Assam,https://westkarbianglong.assam/,53,2.8,20000,17.98,581,vl,,,n/a
455,Udalguri College,3.1,M,"{'ba', 'bsc'}",Bad,Good,Udalguri,Assam,https://udalguricollegeedu.in/,53,2.8,5000,17.98,581,vl,https://youtu.be/h4tmmf4PdJo?si=js2GWLnlSyCmOxgX,0.147054731,3
492,D. A. V. College,3.1,M,"{'ba', 'bcom', 'bsc'}",Average,Good,Siwan,Bihar,http://davsiwan.org/,53,2.8,52000,17.98,581,m,,,n/a
430,Sonari College,3.7,M,"{'ba', 'bsc'}",Good,Good,Charaideo,Assam,https://sonaricollege.in/,52,2.3,3177,17.77,583,vl,,,n/a
354,"S V UNIVERSITY COLLEGE OF
 SCIENCES",4.4,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Chittoor,Andhra Pradesh,https://svuniversity.edu.in,50,3,15000,17.66,584,vl,https://youtu.be/QXVYBtxUPsc?si=9AOE52uy7qbsOgVe,-0.074208333,1
58,"COLLEGE OF ENGINEERING BR
 AMBEDKAR UNIV SELF FINANCE",3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Srikakulam,Andhra Pradesh,https://www.brau.edu.in/,50,4,48500,17.64,585,l,https://youtu.be/GTYN_1nEwLw?si=37o7S02dHUAU6Us4,-0.045566502,1
417,Government College of East Kameng,2.6,M,"{'ba', 'bcom', 'bsc'}",Bad,Good,East Kameng,Arunachal Pradesh,https://www.admission.universitydunia.com/13010-government-college-seppa,54,1.3,7000,17.63,586,vl,,,n/a
23,"ANIL NEERUKONDA INSTITUTE OF
 TECHNOLOGY AND SCI",3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good, Visakhapatnam,Andhra Pradesh,https://www.anits.edu.in/,50,3.5,84100,17.61,587,h,https://youtu.be/TAVeXUALRuI?si=MPmYnb22UVi6US7Y,0.028518519,2
605,Government College Solan,3.7,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Solan,Himachal Pradesh,https://www.gcsolan.ac.in/,50,3.6,600,17.56,588,vl,,,n/a
316,SHREE RAMA EDNL SOC GRP OF INSTNS,3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Krishna,Andhra Pradesh,https://www.sreerama.ac.in,50,3.7,30000,17.55,589,vl,,,n/a
457,Hailakandi Government College,3,AS,"{'ma', 'ba', 'bsc'}",Bad,Good,Hailakandi,Assam,https://pdugmck.ac.in/,52,2.4,20000,17.52,590,vl,,,n/a
720,SKP Government PG College,3.5,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Dewas,Madhya Pradesh,https://skpcollegedewas.org/,51,2.7,4760,17.51,591.5,vl,,,n/a
651,Government First Grade College,3.2,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Chamarajanagar,Karnataka,https://www.university.youth4work.com/gfgcc_government-first-grade-college-chamarajanagar,52,2.1,13540,17.51,591.5,vl,,,n/a
63,BVC ENGINEERING COLLEGE,3.52,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,East Godavari,Andhra Pradesh,https://bvcec.edu.in/,50,3.5,40000,17.458,593,l,,,n/a
222,NARSARAOPET INSTT. OF PHARM.SCI.,3.7,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Guntur,Andhra Pradesh,https://nips.edu.in,50,3.2,48000,17.44,594,l,,,n/a
95,SRI CHAITANYA -DJR COLL OF ENGG AND TECH,3.4,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Rangareddy,Telangana,https://cec.ac.in/,50,3.5,40000,17.41,595,l,,,n/a
618,St. Columba's College,3,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Giridih,Jharkhand,https://stcchzb.ac.in/,52,2,4720,17.4,596,vl,https://youtu.be/koOKJkqiuMg?si=tYSLMhdkaRgSrnsS,0.021089744,2
51,BAPATLA COLLEGE OF PHARMACY,4.2,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,Guntur,Andhra Pradesh,www.bcop.net,50,2.4,60000,17.4,597,m,,,n/a
728,Government Narmada College,3.5,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Narmadapuram,Madhya Pradesh,https://mphighereducation.nic.in/InstitutePortal/Public/CoursesIn_Institute.aspx?InstId=MzQw,51,2.3,5000,17.39,598,vl,,,n/a
115,"GLOBAL COLL OF ENGG AND
 TECHNOLOGY",3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Krishna,Andhra Pradesh,https://www.aliet.ac.in,50,2.8,40000,17.36,599.5,l,https://youtu.be/Gsxbn0819Zo?feature=shared,0.34,4
491,R. N. A. R. College,3.2,M,"{'ba', 'bsc'}",Average,Good,Sheohar,Bihar,https://rnarlnmu.ac.in/web/index.php,50,3.6,5000,17.36,599.5,vl,https://youtu.be/boOBJYwx9o0?feature=shared,0.175,3
525,Government College,3,AS,"{'ba', 'mcom', 'msc', 'ma', 'bcom', 'bsc'}",Bad,Good,Narayanpur,Chhattisgarh,https://www.gdcnarayanpur.com/,51,2.8,15000,17.34,601,vl,https://youtu.be/d5qqxTD7eMY?feature=shared,0.05,2
310,SRI SIDDHAARTHA PHARM. COLLEGE,3.4,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Krishna,Andhra Pradesh,http://www.spcn.in,50,3,39800,17.26,602,l,https://youtu.be/2y4n0pswtxE?feature=shared,0,2
302,"SARADA INSTITUTE OF SCI.
 TECHNOLOGY AND MGMT",3,E,"{'ece', 'eee', 'mec', 'cse'}",Bad,Good,Nalgonda,Andhra Pradesh,http://ssist.ueuo.com,50,3.5,25000,17.25,603.5,vl,,,n/a
135,"JAGANS COLLEGE OF ENGG AND
 TECHNOLOGY",3,E,"{'ece', 'eee', 'mec', 'cse'}",Bad,Good,Nellore,Andhra Pradesh,Www.Jagans.Ac.In,50,3.5,40000,17.25,603.5,l,https://youtu.be/4y4AVYXUkKk?feature=shared,0,2
130,HELAPURI INST OF TECH AND SCIENCE,3.7,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Godavari,Andhra Pradesh,https://helapuri.org,50,2.5,40000,17.23,605,l,,,n/a
681,Government First Grade College,3.5,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Yadgir,Karnataka,https://www.shiksha.com/college/government-degree-college-yadgir-71083,50,2.6,1000,17.18,606,vl,https://youtu.be/1GZ5_U7u-Ws?feature=shared,0.166666667,3
