S.No,inst_name,Rating,Category,Course,Infra,Faculty,District,State,Links,Placement %,ALP,Fee,Combined Score,Rank,FeeCategory,S links,Our Rating
56,BHASKARA INST. OF PHARMACY,3.5,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Srikakulam,Andhra Pradesh,https://www.bpc.edu.in/,80.0,3.5,173000,26.45,108.5,vh,,n/a
304,"SKR COLLEGE OF ENGINEERING
 TECHNOLOGY",3.4,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Thiruvallur,TamilNadu,https://www.skrec.in,80.0,3.5,85000,26.41,110.0,h,,n/a
648,Indian Institute of Science (IISc),4.4,AS,"{'ba', 'mcom', 'msc', 'mca', 'ma', 'bcom', 'eee', 'cse', 'bsc', 'mec', 'ece'}",VGood,VGood,Bengaluru Urban,Karnataka,https://iisc.ac.in/,80.0,2.1,220200,26.39,111.0,vh,,n/a
731,Rani Durgavati Vishwavidyalaya,4.0,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,Jabalpur,Madhya Pradesh,http://www.rdunijbpin.org/1131/Pharmacy,80.0,2.5,12600,26.35,112.0,vl,,n/a
50,"BRAHMAIAH COLLEGE OF
 ENGINEERING",3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Nellore,Andhra Pradesh,http://www.bcen.edu.in/,77.0,5.5,140000,26.31,113.0,vh,,n/a
764,Government Degree College,3.5,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Sidhi,Madhya Pradesh,https://govpgcollegesidhi.org/,80.0,3.0,1640,26.3,114.0,vl,,n/a
412,YELAMARTY B. PHARMACY COLLEGE,4.2,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,Visakhapatnam,Andhra Pradesh,https://www.yalamarty.edu.in/,78.0,4.0,34500,26.28,115.0,vl,,n/a
76,CHEBROLU ENGINEERING COLLEGE,3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://rvit.edu.in/,79.0,3.5,40000,26.27,116.0,l,,n/a
774,Sant Gadge Baba Amravati University,3.8,AS,"{'ba', 'mcom', 'd.pharm', 'b.pharm', 'msc', 'm.pharm', 'ma', 'bcom', 'diploma', 'eee', 'cse', 'bsc', 'llb', 'mec', 'ece'}",Good,VGood,Amravati,Maharashtra,https://www.sgbau.ac.in/,80.0,2.4,45000,26.24,117.0,l,,n/a
691,St. Albert's College,4.1,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Kochi,Kerala,https://www.alberts.edu.in/,78.0,3.9,37500,26.21,118.0,l,,n/a
686,St. Thomas College,4.1,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,VGood,Ranni,Kerala,https://www.stthomascollegeranni.com/,78.0,3.8,2330,26.18,119.0,vl,,n/a
811,Walchand Institute of Technology,4.3,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Solapur,Maharashtra,https://witsolapur.org/,77.0,4.5,113514,26.17,120.0,vh,,n/a
407,ST XAVIER INST OF PHARMACY,3.9,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Guntur,Andhra Pradesh,https://stxip.org/,79.0,3.0,40000,26.16,121.0,l,,n/a
817,Yeshwantrao Chavan College of Engineering,4.2,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Yavatmal,Maharashtra,,77.0,4.5,53000,26.13,122.0,m,,n/a
545,Maharaja Sayajirao University of Baroda,4.1,AS,"{'ba', 'mcom', 'd.pharm', 'b.pharm', 'msc', 'm.pharm', 'ma', 'bcom', 'diploma', 'eee', 'cse', 'bsc', 'llb', 'mec', 'ece'}",Good,VGood,Vadodara,Gujarat,https://msubaroda.ac.in/administrative_sections#,79.0,2.6,25170,26.12,123.0,vl,,n/a
752,Dr. Harisingh Gour University,4.0,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,Good,Sagar,Madhya Pradesh,https://dhsgsu.edu.in/index.php/en/departments01/pharmaceutical-sciences,78.0,3.7,216000,26.11,124.0,vh,,n/a
539,Goa Medical College,4.1,Me,{'mbbs'},Good,VGood,North Goa,Goa,https://www.goa.gov.in/department,79.0,2.5,562000,26.09,125.0,vh,,n/a
197,MOTHER THERESA INST OF ENGG AND TECH,3.5,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Chittoor,Andhra Pradesh,https://www.mtitech.edu.in,79.0,3.3,57200,26.09,126.0,m,,n/a
324,SASHIKANTH REDDY COLL OF PHARM,4.0,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Nellore,Andhra Pradesh,https://sasikanthreddycollegeofpharmacy.com,78.0,3.6,17000,26.08,127.0,vl,,n/a
326,"SRI SAI INSTITUTE OF TECHNOLOGY.
 AND SCI.",4.0,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Kadapa,Andhra Pradesh,https://www.srisaiiot.com,79.0,2.5,40000,26.05,128.0,l,,n/a
153,K G R L COLLEGE OF PHARMACY,3.6,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,West Godavari,Andhra Pradesh,https://kgrlpharmacy.com,75.0,7.0,35000,26.04,129.0,vl,,n/a
227,PACE INSTITUTE OF TECHNOLOGY AND SCIENCES,4.3,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Prakasam,Andhra Pradesh,https://www.pace.ac.in,75.0,6.0,43600,26.02,130.0,l,,n/a
193,"SRI MITTAPALLI INST OF
 TECHNOLOGY FOR WOMEN",3.5,EW,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://www.smce.ac.in,78.0,4.0,42500,26.0,131.0,l,,n/a
405,"WEST GODAVARI INSTT OF SCIENCE
 AND ENGINEERING",3.6,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,West Godavari,Andhra Pradesh,https://www.wise.ac.in,78.0,3.6,40000,25.92,132.0,l,,n/a
